,Date,Signal,Open,High,Low,Close,Adj Close
114,2016-05-12,12.939768954,111.190002,111.489998,109.5,110.370003,103.730415
115,2016-05-13,12.14011848,110.059998,110.940002,109.360001,109.639999,103.044334
116,2016-05-16,12.7801743264,109.919998,111.519997,109.870003,111.029999,104.350693
117,2016-05-17,11.9952176256,110.879997,111.419998,108.769997,109.269997,102.696579
118,2016-05-18,13.104373968,108.809998,110.660004,108.790001,109.839996,103.2323
119,2016-05-19,12.2279976576,109.040001,109.769997,107.989998,108.959999,102.405243
120,2016-05-20,13.3244100288,109.290001,110.790001,109.230003,110.790001,104.125153
121,2016-05-23,13.0532177664,110.769997,111.389999,110.5,110.660004,104.002968
122,2016-05-24,12.7954648404,111.309998,113.220001,111.269997,112.940002,106.145813
123,2016-05-25,12.7104297936,113.300003,113.900002,113.080002,113.599998,106.766106
124,2016-05-26,13.1883746064,113.769997,114.019997,113.25,113.470001,106.643936
125,2016-05-27,12.7634244732,113.559998,114.599998,113.510002,114.599998,107.705933
126,2016-05-31,13.07922456,114.82,115.540001,114.5,115.0,108.081886
127,2016-06-01,12.559189278,114.610001,115.949997,114.419998,115.779999,108.814972
128,2016-06-02,13.921474392,115.489998,116.669998,115.370003,116.669998,109.651413
129,2016-06-03,12.95596602,116.470001,116.470001,115.0,115.970001,108.993538
130,2016-06-06,13.6690801068,116.080002,117.580002,116.010002,117.220001,110.168327
131,2016-06-07,12.435976026,117.290001,117.980003,116.959999,117.559998,110.487892
132,2016-06-08,12.6894277272,117.660004,118.639999,117.650002,118.43,111.30555
133,2016-06-09,12.5238441732,117.940002,117.940002,117.290001,117.669998,110.591263
134,2016-06-10,12.9202038,116.580002,116.879997,115.690002,116.07,109.087509
135,2016-06-13,13.1774584176,115.650002,116.18,114.589996,114.809998,107.903297
136,2016-06-14,12.220619652,114.389999,115.110001,113.669998,114.480003,107.593163
137,2016-06-15,13.2637347504,114.889999,115.559998,114.459999,114.559998,107.668365
138,2016-06-16,12.8490613416,113.720001,114.589996,112.889999,114.550003,107.658974
139,2016-06-17,13.574501388,114.410004,114.919998,113.68,114.059998,107.198418
140,2016-06-20,13.17508764,115.800003,116.449997,115.300003,115.300003,108.363846
141,2016-06-21,12.8010824304,115.339996,115.410004,114.330002,115.080002,108.157082
142,2016-06-22,12.6259240404,115.300003,115.879997,114.489998,114.629997,107.734138
143,2016-06-23,12.821079294,115.82,116.910004,115.730003,116.82,109.792397
144,2016-06-24,12.094195248,111.940002,114.040001,111.5,112.379997,105.619492
145,2016-06-27,13.226920992,111.07,111.07,108.190002,108.690002,102.151489
146,2016-06-28,13.5343625664,109.650002,110.879997,109.57,110.370003,103.730415
147,2016-06-29,13.206744666,111.699997,113.050003,111.529999,112.879997,106.089432
148,2016-06-30,12.6568803984,113.120003,115.019997,112.57,114.980003,108.06308
149,2016-07-01,13.2012497952,115.050003,115.949997,114.800003,115.389999,108.448418
150,2016-07-05,13.11160554,115.019997,115.260002,113.07,113.690002,106.850685
151,2016-07-06,12.727279998,112.540001,114.010002,112.309998,113.889999,107.626534
152,2016-07-07,13.30478478,114.220001,114.989998,113.410004,114.129997,107.853348
153,2016-07-08,12.84686292,115.25,117.089996,115.150002,116.790001,110.36705
154,2016-07-11,13.6719855132,117.559998,118.43,117.470001,118.139999,111.642807
155,2016-07-12,13.845523248,119.0,120.419998,118.830002,119.720001,113.135925
156,2016-07-13,20.3950827,120.330002,120.389999,118.949997,119.25,112.69178
157,2016-07-14,13.6639684968,120.300003,120.360001,119.300003,119.370003,112.805161
158,2016-07-15,13.8894780672,119.889999,120.040001,119.279999,119.699997,113.11702
159,2016-07-18,13.4169704856,119.529999,120.349998,119.330002,119.900002,113.306015
160,2016-07-19,14.1995600448,119.760002,119.970001,118.93,119.300003,112.739014
161,2016-07-20,13.0876892928,119.550003,120.440002,118.940002,120.080002,113.476128
162,2016-07-21,14.24673432,120.010002,120.599998,119.25,119.510002,112.937462
163,2016-07-22,13.8747119052,119.580002,120.650002,119.349998,120.400002,113.778526
164,2016-07-25,13.291117704,120.150002,120.459999,119.760002,120.220001,113.608414
165,2016-07-26,13.5921050892,120.199997,120.970001,119.919998,120.800003,114.156525
166,2016-07-27,13.05370452,121.0,121.470001,120.349998,121.139999,114.477821
167,2016-07-28,13.2781123944,120.879997,121.239998,120.529999,120.830002,114.18486
168,2016-07-29,13.112727552,120.709999,121.760002,120.050003,121.07,114.411659
169,2016-08-01,14.218427808,121.199997,121.699997,120.440002,121.169998,114.50618
170,2016-08-02,13.4528186052,121.160004,121.209999,119.099998,119.480003,112.909119
171,2016-08-03,13.4462159316,119.370003,120.5,119.099998,120.449997,113.82576
172,2016-08-04,13.46051637,120.449997,121.190002,120.260002,120.559998,113.92971
173,2016-08-05,13.5014879496,121.339996,122.580002,120.970001,122.300003,115.574043
174,2016-08-08,13.5659458032,122.349998,122.849998,122.029999,122.239998,115.517319
175,2016-08-09,13.717846098,122.269997,122.629997,122.139999,122.370003,115.640175
176,2016-08-10,13.5738161724,122.379997,122.599998,121.150002,121.489998,114.808571
177,2016-08-11,13.7414217204,122.029999,122.400002,121.57,122.07,115.356682
178,2016-08-12,13.9777937172,121.830002,122.459999,121.629997,122.190002,115.470085
179,2016-08-15,13.38380064,122.459999,123.690002,122.43,123.400002,116.613541
180,2016-08-16,13.80204441,123.080002,123.120003,122.260002,122.400002,115.668533
181,2016-08-17,14.2526765664,122.440002,122.5,121.330002,122.040001,115.328331
182,2016-08-18,14.07073704,122.080002,122.970001,122.040001,122.940002,116.178825
183,2016-08-19,14.3748887604,122.769997,123.07,122.279999,122.940002,116.178825
184,2016-08-22,14.4029192628,122.68,123.339996,122.330002,123.220001,116.443436
185,2016-08-23,14.0946171852,123.610001,124.459999,123.610001,124.080002,117.256142
186,2016-08-24,14.1679205208,123.940002,124.25,122.769997,123.07,116.301689
187,2016-08-25,13.491576576,122.620003,123.690002,122.610001,123.309998,116.528473
188,2016-08-26,14.1140891772,123.449997,124.410004,122.300003,123.059998,116.292221
189,2016-08-29,14.1243974796,123.269997,124.169998,123.239998,123.699997,116.897034
190,2016-08-30,13.8371097648,123.830002,124.169998,123.379997,123.93,117.11438
191,2016-08-31,14.5570986444,123.779999,123.889999,122.550003,123.230003,116.452881
192,2016-09-01,14.5059912,123.339996,123.629997,122.019997,123.32,116.537933
193,2016-09-02,14.19320796,124.010002,124.529999,123.629997,124.510002,117.662498
194,2016-09-06,13.6123145136,124.919998,124.970001,123.970001,124.629997,117.775879
195,2016-09-07,13.941459,124.550003,125.440002,124.480003,125.410004,118.513
196,2016-09-08,14.2207872768,125.309998,125.410004,124.769997,125.160004,118.276733
197,2016-09-09,12.992295684,124.18,124.209999,121.209999,121.25,114.581772
198,2016-09-12,14.1161877144,120.690002,122.970001,120.580002,122.940002,116.178825
199,2016-09-13,13.81898712,122.059998,122.160004,119.879997,120.580002,113.948616
200,2016-09-14,14.4672756384,120.769997,121.470001,120.290001,120.599998,113.967506
201,2016-09-15,14.4059477952,120.68,122.190002,120.510002,122.040001,115.328331
202,2016-09-16,13.349960766,122.040001,122.040001,121.099998,121.860001,115.158226
203,2016-09-19,14.39698743,122.32,123.550003,121.989998,122.669998,115.923683
204,2016-09-20,13.8704494824,123.199997,123.230003,122.150002,122.150002,115.432274
205,2016-09-21,14.4333581112,122.580002,123.970001,122.099998,123.919998,117.104919
206,2016-09-22,14.06982516,124.730003,125.800003,124.660004,125.699997,118.787025
207,2016-09-23,14.4614126304,125.559998,125.879997,124.809998,124.809998,117.945999
208,2016-09-26,13.5517673352,123.800003,124.169998,123.099998,123.230003,116.774742
209,2016-09-27,13.55943168,123.169998,123.879997,122.809998,123.730003,117.248543
210,2016-09-28,14.08005984,123.949997,124.760002,123.07,124.68,118.148796
211,2016-09-29,14.29090686,124.620003,124.639999,122.699997,122.860001,116.424118
212,2016-09-30,13.5310482432,123.419998,124.779999,122.860001,124.209999,117.7034
213,2016-10-03,14.6432622336,123.830002,124.099998,123.129997,123.82,117.333832
214,2016-10-04,14.5101092616,124.019997,124.309998,122.650002,123.209999,116.755775
215,2016-10-05,13.427911344,123.690002,124.68,123.650002,123.949997,117.457016
216,2016-10-06,14.0152757868,123.75,124.019997,122.82,123.82,117.333832
217,2016-10-07,13.171882734,124.040001,124.32,122.230003,123.830002,117.395706
218,2016-10-10,13.062775158,122.830002,124.739998,122.830002,124.300003,117.788696
219,2016-10-11,13.69456968,124.050003,124.110001,121.339996,122.029999,115.637589
220,2016-10-12,13.67864964,122.089996,122.610001,121.529999,121.93,115.542831
221,2016-10-13,13.069257426,120.989998,121.410004,120.110001,120.919998,114.585747
222,2016-10-14,13.8151044,121.360001,121.839996,120.400002,120.43,114.121414
223,2016-10-17,14.0496526656,120.580002,120.849998,120.160004,120.290001,113.988747
224,2016-10-18,14.3180416704,121.519997,121.580002,120.660004,120.980003,114.642609
225,2016-10-19,14.40910224,121.169998,121.949997,120.5,121.489998,115.12587
226,2016-10-20,13.06385622,121.139999,122.0,120.410004,121.129997,114.784744
227,2016-10-21,12.934220664,120.260002,121.370003,120.099998,121.07,114.727898
228,2016-10-24,12.9208139136,122.040001,122.610001,121.449997,121.839996,115.45755
